"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
183,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
185,"w0kne2",2.55157470703125,95.7733154296875,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.55157470703125&longitude=95.7733154296875&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
189,"qzh785",-4.99053955078125,129.732055664062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-4.99053955078125&longitude=129.732055664062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
194,"qygefp",-6.33087158203125,128.765258789062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.33087158203125&longitude=128.765258789062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
198,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
200,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
211,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
214,"qw8gby",-7.74261474609375,113.593139648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.74261474609375&longitude=113.593139648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
215,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
218,"rp7qg8",-3.02947998046875,139.729614257812,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-3.02947998046875&longitude=139.729614257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
219,"rp7qg8",-3.02947998046875,139.729614257812,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-3.02947998046875&longitude=139.729614257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
225,"qw8gby",-7.74261474609375,113.593139648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.74261474609375&longitude=113.593139648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
230,"w0kne2",2.55157470703125,95.7733154296875,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.55157470703125&longitude=95.7733154296875&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
243,"w0kne2",2.55157470703125,95.7733154296875,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.55157470703125&longitude=95.7733154296875&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
250,"qzh785",-4.99053955078125,129.732055664062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-4.99053955078125&longitude=129.732055664062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
252,"qygefp",-6.33087158203125,128.765258789062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.33087158203125&longitude=128.765258789062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
260,"qw8gby",-7.74261474609375,113.593139648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.74261474609375&longitude=113.593139648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
264,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
280,"w03qg5",2.61199951171875,91.8951416015625,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.61199951171875&longitude=91.8951416015625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
283,"qw8gby",-7.74261474609375,113.593139648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.74261474609375&longitude=113.593139648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
293,"wbdnsu",3.97979736328125,126.776733398438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.97979736328125&longitude=126.776733398438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
300,"qw8gby",-7.74261474609375,113.593139648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-7.74261474609375&longitude=113.593139648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
306,"w0kne2",2.55157470703125,95.7733154296875,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.55157470703125&longitude=95.7733154296875&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
308,"qygefp",-6.33087158203125,128.765258789062,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.33087158203125&longitude=128.765258789062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
313,"w8ndr2",0.39825439453125,121.964721679688,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.39825439453125&longitude=121.964721679688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
319,"w0kne2",2.55157470703125,95.7733154296875,0.00274658203125,0.0054931640625,4.5,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.55157470703125&longitude=95.7733154296875&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
