"","X","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"18532",324,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18533",325,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18534",326,"qxzqy7",-0.20050048828125,122.975463867188,0.00274658203125,0.0054931640625,4.7,10
"18535",327,"qxzqy7",-0.20050048828125,122.975463867188,0.00274658203125,0.0054931640625,4.7,10
"18536",328,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18537",331,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18538",334,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18539",340,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18540",341,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18541",353,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18542",355,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18543",357,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18544",359,"qxzqy7",-0.20050048828125,122.975463867188,0.00274658203125,0.0054931640625,4.7,10
"18545",363,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18546",366,"qxzqy7",-0.20050048828125,122.975463867188,0.00274658203125,0.0054931640625,4.7,10
"18547",373,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
"18548",378,"qwmxug",-8.46221923828125,120.448608398438,0.00274658203125,0.0054931640625,4.2,10
"18549",384,"qqs38w",-8.13812255859375,107.254028320312,0.00274658203125,0.0054931640625,4.5,10
