"#","Waktu Gempa","Lintang","Bujur","Magnitudo","Kedalaman","Wilayah"
50,"07-Feb-20 04:06:31 WIB",-10.05,117.71,5,"10 Km","150 km BaratDaya KODI-SUMBABARATDAYA-NTT"
51,"06-Feb-20 20:40:07 WIB",5.44,126.57,6.1,"10 Km","160 km BaratLaut MELONGUANE-SULUT"
52,"06-Feb-20 14:10:53 WIB",-2.58,139.36,5.1,"13 Km","71 km BaratLaut KAB-JAYAPURA-PAPUA"
53,"06-Feb-20 01:12:34 WIB",-6.43,113.05,6.3,"636 Km","69 km TimurLaut BANGKALAN-JATIM"
54,"04-Feb-20 17:40:58 WIB",-2.81,140.84,5,"17 Km","30 km Tenggara JAYAPURA-PAPUA"
55,"03-Feb-20 19:12:39 WIB",-0.23,125.21,5.2,"10 Km","128 km Tenggara TUTUYAN-BOLTIM-SULUT"
56,"03-Feb-20 18:18:06 WIB",-4.97,134.16,5,"10 Km","88 km BaratLaut KEP.ARU-MALUKU"
57,"02-Feb-20 14:19:10 WIB",-1.39,134.02,5.3,"10 Km","52 km Tenggara MANOKWARISEL-PAPUABRT"
58,"31-Jan-20 04:53:05 WIB",-1.96,99.94,5,"10 Km","39 km TimurLaut TUAPEJAT-SUMBAR"
59,"30-Jan-20 06:46:55 WIB",0.69,126.33,5.8,"10 Km","115 km BaratDaya TERNATE-MALUT"
60,"24-Jan-20 07:50:41 WIB",-10.11,116.97,5.1,"10 Km","151 km Tenggara SUMBAWABARAT-NTB"
