"","X","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"16673",68,"qqs1x0",-8.17108154296875,107.188110351562,0.00274658203125,0.0054931640625,3.6,10
"16674",69,"w8jfjt",0.38177490234375,120.833129882812,0.00274658203125,0.0054931640625,4.5,95
"16675",1,"qyendf",-7.28118896484375,128.095092773438,0.00274658203125,0.0054931640625,6.2,183
"16676",2,"qxy03f",-1.34857177734375,121.019897460938,0.00274658203125,0.0054931640625,4.2,10
"16677",3,"qz8zdf",-1.48040771484375,124.931030273438,0.00274658203125,0.0054931640625,4.8,10
"16678",4,"qzyng1",-0.21148681640625,132.324829101562,0.00274658203125,0.0054931640625,4.8,10
"16679",5,"qqp1ff",-10.9286499023438,111.220092773438,0.00274658203125,0.0054931640625,5.3,10
"16680",6,"qzkh74",-3.45794677734375,129.512329101562,0.00274658203125,0.0054931640625,4.8,10
"16681",7,"qprzkq",-2.90863037109375,101.090698242188,0.00274658203125,0.0054931640625,3.8,35
"16682",8,"qyemk6",-7.50091552734375,128.512573242188,0.00274658203125,0.0054931640625,4.8,183
"16683",9,"qwrwde",-8.68194580078125,123.162231445312,0.00274658203125,0.0054931640625,4.2,10
"16684",10,"qwrwde",-8.68194580078125,123.162231445312,0.00274658203125,0.0054931640625,4.2,10
"16685",11,"qzyng1",-0.21148681640625,132.324829101562,0.00274658203125,0.0054931640625,4.8,10
"16686",12,"qz8zdf",-1.48040771484375,124.931030273438,0.00274658203125,0.0054931640625,4.8,10
"16687",13,"qyvj39",-6.10015869140625,130.852661132812,0.00274658203125,0.0054931640625,4.8,10
"16688",14,"qxy03f",-1.34857177734375,121.019897460938,0.00274658203125,0.0054931640625,4.2,10
"16689",15,"qxy03f",-1.34857177734375,121.019897460938,0.00274658203125,0.0054931640625,4.2,10
"16690",16,"wb3bs9",1.50238037109375,126.414184570312,0.00274658203125,0.0054931640625,4.5,47
"16691",17,"qzyng1",-0.21148681640625,132.324829101562,0.00274658203125,0.0054931640625,4.8,10
