"","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"1","qpwy81",-1.66168212890625,99.4976806640625,0.00274658203125,0.0054931640625,5.4,24
"2","qpwy81",-1.66168212890625,99.4976806640625,0.00274658203125,0.0054931640625,5.4,24
"3","qpwy81",-1.66168212890625,99.4976806640625,0.00274658203125,0.0054931640625,5.4,24
"4","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"5","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"6","w8jwsw",1.17828369140625,120.437622070312,0.00274658203125,0.0054931640625,4.6,10
"7","qpwy81",-1.66168212890625,99.4976806640625,0.00274658203125,0.0054931640625,5.4,24
"8","qpwxr3",-1.52984619140625,99.4647216796875,0.00274658203125,0.0054931640625,5.4,30
"9","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"10","qpwxr3",-1.52984619140625,99.4647216796875,0.00274658203125,0.0054931640625,5.4,30
"11","qqsf59",-8.07769775390625,108.088989257812,0.00274658203125,0.0054931640625,3.7,10
"12","qz7t73",-3.28765869140625,128.820190429688,0.00274658203125,0.0054931640625,2.8,11
"13","qpwy81",-1.66168212890625,99.4976806640625,0.00274658203125,0.0054931640625,5.4,24
"14","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"15","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"16","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"17","qpwxr3",-1.52984619140625,99.4647216796875,0.00274658203125,0.0054931640625,5.4,30
"18","wb4436",0.40924072265625,126.622924804688,0.00274658203125,0.0054931640625,4.6,47
"19","qpwxr3",-1.52984619140625,99.4647216796875,0.00274658203125,0.0054931640625,5.4,30
"20","qyudfq",-6.51214599609375,130.182495117188,0.00274658203125,0.0054931640625,3.4,146
"21","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"22","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"23","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"24","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"25","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"26","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"27","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"28","qqsf59",-8.07769775390625,108.088989257812,0.00274658203125,0.0054931640625,3.7,10
"29","wb4436",0.40924072265625,126.622924804688,0.00274658203125,0.0054931640625,4.6,47
"30","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"31","qyudfq",-6.51214599609375,130.182495117188,0.00274658203125,0.0054931640625,3.4,146
"32","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"33","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"34","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"35","qyudfq",-6.51214599609375,130.182495117188,0.00274658203125,0.0054931640625,3.4,146
"36","qz7t73",-3.28765869140625,128.820190429688,0.00274658203125,0.0054931640625,2.8,11
"37","w8jwsw",1.17828369140625,120.437622070312,0.00274658203125,0.0054931640625,4.6,10
"38","qyudfq",-6.51214599609375,130.182495117188,0.00274658203125,0.0054931640625,3.4,146
"39","qpwxr3",-1.52984619140625,99.4647216796875,0.00274658203125,0.0054931640625,5.4,30
"40","qw7669",-9.44000244140625,117.185668945312,0.00274658203125,0.0054931640625,3.2,36
"41","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"42","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"43","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"44","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"45","w8jwsw",1.17828369140625,120.437622070312,0.00274658203125,0.0054931640625,4.6,10
"46","w8jwsw",1.17828369140625,120.437622070312,0.00274658203125,0.0054931640625,4.6,10
"47","qqsf59",-8.07769775390625,108.088989257812,0.00274658203125,0.0054931640625,3.7,10
"48","wb4436",0.40924072265625,126.622924804688,0.00274658203125,0.0054931640625,4.6,47
"49","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"50","qz7th1",-3.33160400390625,128.853149414062,0.00274658203125,0.0054931640625,2.8,11
"51","qwec1z",-8.22052001953125,117.855834960938,0.00274658203125,0.0054931640625,3.2,19
"52","qpwwfh",-1.60125732421875,99.2340087890625,0.00274658203125,0.0054931640625,5.4,30
"53","wb6qk0",2.50762939453125,127.095336914062,0.00274658203125,0.0054931640625,4.6,67
"54","w8jwsw",1.17828369140625,120.437622070312,0.00274658203125,0.0054931640625,4.6,10
"55","qz7t73",-3.28765869140625,128.820190429688,0.00274658203125,0.0054931640625,2.8,11
"56","qw7669",-9.44000244140625,117.185668945312,0.00274658203125,0.0054931640625,3.2,36
"57","wb4436",0.40924072265625,126.622924804688,0.00274658203125,0.0054931640625,4.6,47
