"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1996-07-01","01:29:48",-2.69,139.06,19,4.4
"1996-07-01","01:29:50",-2.72,139.04,33,4.4
"1996-07-01","03:02:59",-2.39,139.21,33,3.9
"1996-07-01","03:57:10",-8.4,123.91,100,4.3
"1996-07-01","03:57:18",-8.84,124.06,146,4.3
"1996-07-01","04:24:40",-4.93,129.88,200,3.8
"1996-07-01","04:24:44",-5.07,129.79,242,3.8
"1996-07-01","04:24:44",-5.07,129.79,242,3.7
"1996-07-01","11:19:34",-1.24,136.66,33,4.1
"1996-07-01","11:19:34",-1.27,136.65,33,4.1
"1996-07-01","11:19:34",-1.27,136.65,33,4.2
"1996-07-01","12:30:00",1.77,127.24,33,4.8
"1996-07-01","12:30:00",1.77,127.24,33,4.9
"1996-07-01","12:30:06",1.77,127.25,100,4.8
"1996-07-01","17:24:39",0.16,123.09,33,4
"1996-07-01","17:24:54",-0.21,122.77,184,4
"1996-07-01","17:45:02",0.64,125.53,33,4
"1996-07-01","18:29:42",-3.67,138.93,33,3.9
"1996-07-01","18:29:49",-3.82,138.99,104,3.9
"1996-07-01","18:29:49",-3.82,138.99,104,4.2
"1996-07-01","20:10:09",-2.93,139.03,33,3.8
"1996-07-01","20:10:10",-2.97,138.84,33,3.8
"1996-07-01","22:56:41",2.32,127.79,33,3.6
"1996-07-01","23:29:48",-8.32,107.74,33,4.1
"1996-07-01","23:29:53",-8.32,107.85,82,4.1
"1996-07-01","23:29:53",-8.32,107.85,82,3.9
