"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1998-03-12","01:33:06",1.99,99.01,2,5.2
"1998-03-12","03:11:09",-2.9,140.28,33,5.2
"1998-03-12","05:02:24",-2.95,133.84,33,3.7
"1998-03-12","05:17:42",-1.6,119.41,33,4.6
"1998-03-12","05:17:43",-1.58,119.45,46,4.6
"1998-03-12","06:53:01",-2.11,140.31,33,5.4
"1998-03-12","09:27:42",-5.82,103.48,33,3.8
"1998-03-12","10:22:25",-3.3,139.84,33,3.4
"1998-03-12","11:59:42",4.18,98.86,2,3.6
"1998-03-12","16:08:18",-2.19,119.97,33,3.4
"1998-03-12","16:08:18",-2.19,119.97,33,4.1
"1998-03-12","16:25:35",-0.93,140.74,33,3.6
"1998-03-12","19:11:35",-2.17,119.9,33,3.5
"1998-03-12","19:11:35",-2.17,119.9,33,4.4
"1998-03-12","19:56:40",-2.13,119.94,33,3.2
"1998-03-12","19:56:40",-2.13,119.94,33,4.3
"1998-03-12","20:46:16",-1.83,119.87,33,3.9
"1998-03-12","20:46:16",-1.83,119.87,33,4.4
"1998-03-12","20:50:33",-2.19,119.93,33,3.4
"1998-03-12","20:50:33",-2.19,119.93,33,3.6
"1998-03-12","22:31:50",-1.84,140.21,10,4.6
"1998-03-12","22:31:50",-1.84,140.21,10,5.4
"1998-03-12","23:16:02",-1.18,122.38,2,4.4
"1998-03-12","23:16:02",-1.18,122.38,2,4.8
