"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2009-12-20","02:45:27",1.23,121.6,11,3.8
"2009-12-20","03:30:33",4.8,96.06,10,4.1
"2009-12-20","03:30:37",4.64,96.24,31,3.7
"2009-12-20","03:43:54",-7.8,116.19,35,3.8
"2009-12-20","09:19:19",-5.17,133.29,25,4.1
"2009-12-20","09:19:19",-4.8,133.6,15,4.8
"2009-12-20","09:19:19",-4.83,133.62,15,4.8
"2009-12-20","09:19:19",-5.17,133.29,25,4
"2009-12-20","09:19:21",-5.04,133.43,35,4.1
"2009-12-20","09:19:27",-4.58,133.34,92,4.9
"2009-12-20","09:54:37",-7.91,108.91,22,2.9
"2009-12-20","10:28:46",-5.59,133.61,35,3.8
"2009-12-20","12:35:44",-0.6,133.03,35,4.1
"2009-12-20","12:35:44",-0.52,132.99,32,4.1
"2009-12-20","12:35:44",-0.52,132.99,32,4.2
"2009-12-20","12:35:45",-0.71,132.99,12,4.1
"2009-12-20","13:10:19",-0.06,123.64,123,4.2
"2009-12-20","13:10:19",0.11,123.71,157,3.8
"2009-12-20","13:25:48",-0.22,124.65,30,5.1
"2009-12-20","13:25:48",-0.18,124.48,57,5
"2009-12-20","13:25:49",-0.18,124.6,73,5
"2009-12-20","13:25:50",-0.2,124.55,76,5
"2009-12-20","13:25:50",-0.2,124.6,61,5.1
"2009-12-20","13:25:50",-0.2,124.55,76,4.9
"2009-12-20","16:05:49",-6.74,130.72,10,3.8
"2009-12-20","18:27:46",2.53,128.48,150,3.8
"2009-12-20","22:06:02",-6.97,131.46,36,3.7
