"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2012-11-30","01:10:18",-5.82,103.41,24,4.1
"2012-11-30","04:02:04",2.78,128.2,141,4.3
"2012-11-30","04:02:06",2.66,128.11,76,4.4
"2012-11-30","04:02:06",2.76,128.21,65,4.3
"2012-11-30","04:02:08",2.68,128.15,100,4.3
"2012-11-30","04:02:08",2.68,128.15,100,4
"2012-11-30","05:02:40",-7.84,129.8,35,3.8
"2012-11-30","07:35:45",-1.34,138.89,23,4.2
"2012-11-30","07:49:21",-11.59,117.98,10,4.7
"2012-11-30","07:49:25",-11.18,118.78,27,4.3
"2012-11-30","07:49:27",-11.15,117.84,10,4.6
"2012-11-30","08:26:12",-8.69,127.84,35,4.4
"2012-11-30","08:26:12",-8.64,127.86,35,4.4
"2012-11-30","08:26:14",-8.62,127.83,30,4.6
"2012-11-30","08:26:14",-8.7,127.88,48,4.5
"2012-11-30","13:22:26",-0.99,99.62,10,3.8
"2012-11-30","16:12:02",-9.63,119.39,10,3.2
"2012-11-30","17:44:20",-10.8,114.07,35,3.5
"2012-11-30","22:18:19",-7.51,128.59,151,4.2
"2012-11-30","22:18:20",-7.49,128.62,158,4.2
"2012-11-30","22:18:20",-7.48,128.65,161,4.2
"2012-11-30","22:18:22",-7.73,128.52,200,4.7
"2012-11-30","22:22:11",0.66,120.64,10,2.7
