"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2004-07-26","04:08:27",-8.69,117.99,164,3.8
"2004-07-26","04:41:57",-8.57,119.74,146,5.2
"2004-07-26","04:41:57",-8.57,119.74,146,4.9
"2004-07-26","04:41:58",-8.48,119.84,137,5.2
"2004-07-26","05:57:58",-8.74,115.26,78,2.9
"2004-07-26","05:57:58",-8.74,115.26,78,5.3
"2004-07-26","10:03:30",-7.71,128.54,166,4.1
"2004-07-26","19:37:44",-2.67,103.36,605,3.8
"2004-07-26","19:37:44",-2.55,103.53,625,3.8
"2004-07-26","19:37:44",-2.55,103.53,625,3.9
"2004-07-26","23:58:20",-9.56,113.15,2,4.2
"2004-07-26","23:58:20",-9.56,113.15,2,5.4
