"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2002-03-25","04:48:14",3,126.38,33,5
"2002-03-25","04:48:14",3,126.38,33,5.1
"2002-03-25","05:23:05",-9.52,114.17,33,4.3
"2002-03-25","05:57:05",-2.35,100.13,33,4.7
"2002-03-25","05:57:06",-2.4,100.13,37,4.7
"2002-03-25","05:57:06",-2.4,100.13,37,4.6
"2002-03-25","07:12:29",2.88,126.45,100,3.8
"2002-03-25","07:21:23",0.7,122.36,33,3.3
"2002-03-25","11:45:06",-3.97,120.31,200,3.7
"2002-03-25","11:45:06",-3.97,120.31,200,4.5
"2002-03-25","11:53:50",3.4,98.58,15,3.6
"2002-03-25","11:53:50",3.4,98.58,15,3.9
"2002-03-25","12:38:36",-8.45,114.53,30,3.4
"2002-03-25","16:18:50",-0.26,128.13,33,3.9
"2002-03-25","17:22:39",4.49,95,69,4.2
"2002-03-25","20:26:12",5.83,123.96,37,4.1
"2002-03-25","20:26:12",5.83,123.96,37,3.8
"2002-03-25","20:59:06",5.97,123.97,24,4.7
"2002-03-25","22:16:12",-2.93,140.19,33,3.4
"2002-03-25","22:37:08",-9.73,115.91,33,4.4
"2002-03-25","22:37:08",-9.73,115.91,33,4.6
