"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2013-05-23","01:28:39",1.82,126.98,11,4.2
"2013-05-23","09:29:47",2.29,124.85,257,5.1
"2013-05-23","09:29:47",2.3,124.77,263,4.6
"2013-05-23","09:29:47",2.31,124.78,265,4.6
"2013-05-23","09:29:47",2.35,124.81,256,4.8
"2013-05-23","09:29:48",2.29,124.81,259,4.6
"2013-05-23","10:37:13",-5.12,133.87,10,4
"2013-05-23","12:28:32",2.15,127.29,112,4.1
"2013-05-23","12:28:33",2.13,127.4,112,4.1
"2013-05-23","16:01:38",-7.65,128.27,200,3.7
"2013-05-23","16:17:43",-7.37,107.59,10,3.4
"2013-05-23","17:07:31",2.52,95.8,25,3.8
"2013-05-23","18:10:33",-9.4,117.5,35,4
"2013-05-23","19:07:17",-10.03,124.53,19,4.5
"2013-05-23","19:07:17",-10.03,124.53,19,4.1
"2013-05-23","19:07:19",-9.9,124.59,30,4.5
"2013-05-23","19:07:20",-10.24,124.3,17,5
"2013-05-23","19:07:22",-10.1,124.37,46,4.5
"2013-05-23","19:38:56",-8.06,107.31,10,3.5
"2013-05-23","21:09:04",2.64,128.62,200,3.5
"2013-05-23","21:09:08",2.74,128.36,200,4.7
"2013-05-23","22:44:16",-0.02,124.56,90,3.7
"2013-05-23","23:21:49",-9.14,111.3,50,3.7
"2013-05-23","23:21:50",-9.08,111.28,50,4.1
