"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2018-07-06","00:14:39",-9.91,116.82,27,3
"2018-07-06","00:24:37",-0.1,125.27,10,3.9
"2018-07-06","04:51:33",-7.49,128.51,10,5
"2018-07-06","04:51:34",-7.33,128.65,154,4.5
"2018-07-06","04:51:34",-7.32,128.54,145,4.6
"2018-07-06","09:59:48",-0.2,122.68,10,2.5
"2018-07-06","10:25:08",4.57,128.19,10,4.5
"2018-07-06","10:25:09",4.57,128.18,35,4.4
"2018-07-06","11:33:47",-8.69,123.03,143,2.9
"2018-07-06","11:46:37",-8.6,124.55,10,2.7
"2018-07-06","16:44:21",0.86,120.84,16,1.9
"2018-07-06","16:48:41",-6.16,104.38,18,4.1
"2018-07-06","16:48:41",-6.17,104.37,19,4
"2018-07-06","17:53:04",0.29,98.46,41,4.2
"2018-07-06","19:35:39",3.48,127.75,99,4
"2018-07-06","23:22:27",1.74,127.61,83,4
"2018-07-06","23:22:28",1.73,127.69,91,4
