"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2008-04-21","00:53:25",-7.88,125.76,10,4.4
"2008-04-21","00:53:28",-8.07,125.75,36,4.4
"2008-04-21","00:53:28",-8.07,125.75,36,4
"2008-04-21","03:17:33",-0.85,123.13,3,2.9
"2008-04-21","03:48:48",-7.89,104.35,35,4.4
"2008-04-21","03:48:48",-7.8,104.33,30,4.4
"2008-04-21","03:48:51",-7.6,104.5,10,5.1
"2008-04-21","03:48:51",-7.53,104.47,46,5
"2008-04-21","05:33:33",-7.07,129.74,110,5.3
"2008-04-21","05:33:35",-7.21,129.91,141,5.5
"2008-04-21","05:33:37",-7.12,129.78,150,5.3
"2008-04-21","05:33:37",-7.2,129.7,131,5.6
"2008-04-21","08:22:50",-8.22,129.62,64,4.3
"2008-04-21","10:19:54",4.66,127.02,258,3.3
"2008-04-21","11:05:32",-4.57,101.8,35,4.4
"2008-04-21","11:05:32",-4.56,101.82,35,4.4
"2008-04-21","11:05:32",-4.56,101.82,35,3.8
"2008-04-21","14:18:23",-7.76,123.91,224,3.3
"2008-04-21","15:18:52",1.07,121.17,35,3.7
"2008-04-21","15:18:55",1.07,120.83,91,3.7
"2008-04-21","15:18:55",1.07,120.83,91,3.6
"2008-04-21","16:36:45",-4.43,128.78,20,3
"2008-04-21","16:38:10",-10.62,124.59,35,4.2
"2008-04-21","16:38:10",-10.62,124.59,35,3.8
"2008-04-21","16:38:11",-10.59,124.4,35,4.2
"2008-04-21","19:07:13",-6.31,129.93,131,3.7
"2008-04-21","19:07:15",-6.62,129.78,164,3.7
"2008-04-21","19:07:15",-6.62,129.78,164,3.4
"2008-04-21","19:52:17",3.59,125.91,150,4.8
"2008-04-21","19:52:18",3.56,125.78,161,4.9
"2008-04-21","19:52:18",3.54,125.85,159,4.9
"2008-04-21","19:52:18",3.54,125.85,159,4.8
"2008-04-21","19:52:19",3.5,126,159,5
"2008-04-21","20:20:53",-9.95,113.81,10,3.7
"2008-04-21","20:20:57",-9.96,113.9,35,3.7
"2008-04-21","20:47:24",-2.92,101.33,84,4
"2008-04-21","20:47:24",-2.92,101.33,84,3.8
"2008-04-21","20:47:26",-2.98,101.3,100,4
