"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2011-09-26","03:39:24",-7.5,123.1,555,5.2
"2011-09-26","03:39:24",-7.36,123.09,558,5.2
"2011-09-26","03:39:24",-7.35,123.16,566,5.2
"2011-09-26","03:39:24",-7.42,123.1,566,5.1
"2011-09-26","03:39:24",-7.35,123.16,566,4.9
"2011-09-26","03:39:25",-7.41,123.11,560,5.1
"2011-09-26","06:49:18",-6.79,130.52,50,4.3
"2011-09-26","06:49:18",-6.79,130.52,50,3.9
"2011-09-26","06:49:19",-6.76,130.42,48,4.3
"2011-09-26","12:12:38",1.44,123.22,10,4.4
"2011-09-26","12:12:38",1.51,123.27,32,3.9
"2011-09-26","14:17:43",-6.33,129.41,272,3.3
"2011-09-26","15:20:18",-9.09,130.33,380,2.8
"2011-09-26","15:34:09",-1.97,139.19,16,4.3
"2011-09-26","15:34:10",-2.11,139.11,29,4.3
"2011-09-26","15:34:10",-2.11,139.11,29,4
"2011-09-26","15:34:11",-2.01,139.11,35,4.3
"2011-09-26","15:50:00",-4.68,103.78,155,4.2
"2011-09-26","15:50:00",-4.68,103.78,155,4
"2011-09-26","15:50:01",-4.74,103.75,155,4.5
"2011-09-26","15:50:01",-4.5,103.86,155,4.2
"2011-09-26","15:50:01",-4.74,103.74,154,4.4
"2011-09-26","18:25:35",2.05,96.56,10,3.7
"2011-09-26","18:25:37",2.06,96.63,28,3.8
"2011-09-26","18:31:22",-4.17,129.36,168,3.7
"2011-09-26","18:41:43",-8.85,119.73,12,3.1
"2011-09-26","18:52:58",5.24,94.88,100,4
"2011-09-26","18:53:02",5.3,94.91,135,4
"2011-09-26","19:13:53",-2.22,100.73,16,3.5
"2011-09-26","19:13:53",-2.23,100.68,62,3.8
"2011-09-26","21:18:27",3.02,126.42,72,4
