"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2007-10-24","00:03:04",5.79,125.63,208,4.1
"2007-10-24","00:46:09",-5.72,105.95,33,3.2
"2007-10-24","00:46:09   ",-5.72,105.95,33,2.9
"2007-10-24","01:45:23",-4.06,100.93,35,4.3
"2007-10-24","01:45:23",-4.07,100.88,35,4.3
"2007-10-24","01:45:23",-4.07,100.88,35,4.1
"2007-10-24","04:31:53",-9,106.3,10,5
"2007-10-24","04:31:54",-9.09,106.54,34,4.8
"2007-10-24","04:31:56",-9.02,106.6,34,4.9
"2007-10-24","04:31:56",-9.03,106.54,34,4.9
"2007-10-24","04:31:56",-9.03,106.54,34,4.8
"2007-10-24","07:15:56",0.14,126.96,10,4.2
"2007-10-24","07:16:03",0.02,126.76,55,4.2
"2007-10-24","07:16:03",0.02,126.76,55,4
"2007-10-24","09:34:54",-2.8,139.7,23,5.1
"2007-10-24","09:34:54",-2.71,139.85,30,5
"2007-10-24","09:34:55",-2.92,139.49,39,5.1
"2007-10-24","09:34:57",-2.93,139.62,52,5.1
"2007-10-24","09:34:57",-2.93,139.62,52,4.8
"2007-10-24","11:31:04",-2.25,100.7,44,3.4
"2007-10-24","16:43:00",-9.64,119.66,50,4.8
"2007-10-24","16:43:02",-9.45,120.01,71,4.8
"2007-10-24","16:43:04",-9.56,119.86,84,4.8
"2007-10-24","16:43:04",-9.8,119.8,79,5.1
"2007-10-24","16:43:04",-9.56,119.86,84,4.5
"2007-10-24","17:59:03",-8.03,130.21,40,4.8
"2007-10-24","17:59:05",-7.59,130.05,39,4.7
"2007-10-24","17:59:05",-7.8,130.4,10,5.2
"2007-10-24","17:59:07",-7.64,130.11,62,4.7
"2007-10-24","18:55:56",3.1,94.07,35,4.7
"2007-10-24","18:55:57",3.15,93.97,35,4.7
"2007-10-24","18:55:57",3.15,93.97,35,4.6
"2007-10-24","18:56:05",3,94.4,105,4.5
"2007-10-24","18:58:39",-2.17,139.15,45,5
"2007-10-24","18:58:40",-2.18,139.17,45,5
"2007-10-24","18:58:40",-2.18,139.17,45,4.6
"2007-10-24","18:59:05",-3.1,139.6,340,4.4
"2007-10-24","18:59:05",-3.19,139.62,340,4.4
"2007-10-24","20:35:22",5.24,126.43,65,4.2
"2007-10-24","20:35:23",5.4,126.25,62,4.2
"2007-10-24","20:35:23",5.2,127,68,4.9
"2007-10-24","20:35:26",5.43,126.5,110,4.6
"2007-10-24","20:36:00",-6.7,130.62,103,4.8
"2007-10-24","20:36:00",-6.7,130.62,103,4.7
"2007-10-24","20:36:01",-6.65,130.45,102,4.8
"2007-10-24","21:02:48",-3.76,101.02,10,6.8
"2007-10-24","21:02:50",-3.9,101.02,21,6.8
"2007-10-24","21:02:50",-4,100.9,21,6.9
"2007-10-24","21:02:51",-3.95,100.99,30,6.8
"2007-10-24","21:02:51",-3.95,100.99,30,6
"2007-10-24","21:26:52",2.71,96.3,93,4.7
"2007-10-24","21:26:52",2.72,96.29,95,4.7
"2007-10-24","21:26:52",2.72,96.29,95,4.1
"2007-10-24","21:34:05",-4.3,100.9,10,5.1
"2007-10-24","21:34:05",-4.39,100.99,10,5.1
"2007-10-24","21:34:08",-4.23,101.3,35,4.9
"2007-10-24","21:34:10",-4.23,101.31,54,4.9
"2007-10-24","21:34:10",-4.23,101.31,54,4.5
"2007-10-24","21:49:03",5.28,126.46,114,4.1
"2007-10-24","21:49:03",5.28,126.46,114,4
"2007-10-24","21:49:04",5.27,126.49,126,4.1
"2007-10-24","22:17:40",-4.05,100.89,35,3.7
"2007-10-24","22:17:40",-4.06,100.89,35,3.7
"2007-10-24","22:17:40",-4.06,100.89,35,3.9
"2007-10-24","22:30:28",0.3,96.89,35,3.3
"2007-10-24","22:30:29",0.44,97.16,35,3.3
"2007-10-24","22:30:29",0.44,97.16,35,4
