"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2018-08-17","03:52:47",-7.41,128.46,134,3.7
"2018-08-17","07:13:54",-6.16,104.61,18,4.5
"2018-08-17","07:13:56",-6.16,104.54,59,4.5
"2018-08-17","08:19:04",-7.24,107.67,10,3.6
"2018-08-17","15:21:09",-8.29,116.51,10,4.4
"2018-08-17","15:35:01",-7.43,119.83,529,6.5
"2018-08-17","15:35:02",-7.44,119.82,550,6.4
"2018-08-17","15:35:02",-7.36,119.81,546,6.5
"2018-08-17","15:35:02",-7.36,119.82,539,6.5
"2018-08-17","15:35:02",-7.38,119.84,550,6.3
"2018-08-17","16:15:59",-6.33,130.58,177,4.4
"2018-08-17","16:31:55",-7.56,119.39,253,4.4
"2018-08-17","16:31:56",-7.69,119.39,266,4.2
"2018-08-17","17:22:04",-7.4,106.62,66,4.6
"2018-08-17","17:22:05",-7.5,106.58,60,4.6
"2018-08-17","17:22:05",-7.44,106.61,67,4.6
"2018-08-17","18:28:04",-7.73,128.77,257,4.1
"2018-08-17","19:23:59",-1.94,139.69,40,4.7
"2018-08-17","19:24:01",-1.97,139.65,51,4.6
