"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2003-05-27","00:27:25",-8.03,107.69,33,4.7
"2003-05-27","00:27:33",-7.84,108.06,104,4.7
"2003-05-27","00:27:33",-7.84,108.06,104,4.4
"2003-05-27","00:34:53",-8.29,130.03,33,4.4
"2003-05-27","00:35:01",-8.7,129.67,124,4.4
"2003-05-27","01:05:22",2.56,128.83,28,4.7
"2003-05-27","01:05:22",2.56,128.83,28,4.8
"2003-05-27","01:05:23",2.56,128.81,33,4.7
"2003-05-27","01:29:08",-6,130.53,100,4.7
"2003-05-27","01:29:09",-6.07,130.59,114,4.7
"2003-05-27","01:29:09",-6.07,130.59,114,4.9
"2003-05-27","04:00:52",2.55,129.29,33,4.1
"2003-05-27","04:23:15",2.31,128.8,33,5
"2003-05-27","04:23:16",2.29,128.79,43,5
"2003-05-27","04:23:16",2.29,128.79,43,4.9
"2003-05-27","05:18:17",-9.41,115.22,55,4.4
"2003-05-27","05:18:17",-9.41,115.22,55,5.3
"2003-05-27","05:21:20",2.46,128.76,23,3.6
"2003-05-27","07:36:41",-4.51,134.03,33,4.8
"2003-05-27","07:36:41",-4.59,134.02,34,4.8
"2003-05-27","07:36:41",-4.59,134.02,34,4.6
"2003-05-27","07:43:33",-6.62,130.14,33,4.6
"2003-05-27","07:43:38",-6.79,129.91,77,4.6
"2003-05-27","09:46:11",2.76,99.2,178,4.7
"2003-05-27","09:46:13",2.78,99.25,198,4.7
"2003-05-27","09:46:13",2.78,99.25,198,4.6
"2003-05-27","10:32:04",1.88,128.85,33,5.3
"2003-05-27","10:32:04",1.89,128.85,34,5.3
"2003-05-27","10:32:04",1.89,128.85,34,5.2
"2003-05-27","11:30:40",-8.3,118.86,195,4.5
"2003-05-27","11:30:41",-8.26,118.84,196,4.5
"2003-05-27","11:30:41",-8.26,118.84,196,4.4
"2003-05-27","11:47:38",-6.02,113.37,586,4.4
"2003-05-27","11:47:38",-6.02,113.37,586,4.2
"2003-05-27","11:47:39",-6.05,113.34,600,4.4
"2003-05-27","12:23:33",2.38,128.81,18,4.8
"2003-05-27","12:23:35",2.37,128.71,33,4.8
"2003-05-27","12:50:25",2.57,128.86,10,4
"2003-05-27","13:09:32",2.35,128.85,33,4.8
"2003-05-27","13:09:33",2.34,128.89,42,4.8
"2003-05-27","13:09:33",2.34,128.89,42,4.6
"2003-05-27","13:10:57",2.59,129.03,33,4.9
"2003-05-27","13:10:57",2.58,129.07,33,4.9
"2003-05-27","13:10:57",2.58,129.07,33,4.5
"2003-05-27","13:14:49",2.44,128.87,33,4.7
"2003-05-27","13:14:49",2.44,128.9,33,4.7
"2003-05-27","13:14:49",2.44,128.9,33,4.4
"2003-05-27","13:59:39",2.03,127.62,33,4.5
"2003-05-27","13:59:39",2.08,127.76,33,4.5
"2003-05-27","13:59:39",2.08,127.76,33,4.3
"2003-05-27","14:00:54",2.51,128.94,33,4.6
"2003-05-27","14:00:57",2.51,128.9,56,4.6
"2003-05-27","14:00:57",2.51,128.9,56,4.3
"2003-05-27","16:59:43",-9.37,115.25,51,3.8
"2003-05-27","20:02:29",-9.62,114.17,77,3.6
"2003-05-27","20:31:55",2.5,128.8,33,4.6
"2003-05-27","21:46:05",-7.03,122.86,500,3.9
"2003-05-27","23:26:17",3.14,126.06,33,5.1
"2003-05-27","23:26:21",3.09,125.73,70,5.1
"2003-05-27","23:26:21",3.09,125.73,70,4.5
