"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1992-03-09","00:06:56",0,100.3,33,4.5
"1992-03-09","01:09:38",-7.93,107.03,21,2.8
"1992-03-09","01:16:29",-9.49,115.1,85,2.9
"1992-03-09","01:56:37",-9.39,115.89,28,3.6
"1992-03-09","04:13:30",-10.01,117.34,300,3.9
"1992-03-09","05:35:15",1.1,99.7,6,2.7
"1992-03-09","05:41:04",-8.63,116.32,125,4.7
"1992-03-09","08:55:29",1.5,100.2,26,2.8
"1992-03-09","10:48:20",-8.2,117.6,197,4.1
"1992-03-09","12:22:31",-7.05,106.52,142,2.8
"1992-03-09","12:46:52",4.63,126.03,145,4.8
"1992-03-09","12:46:52",4.62,126.03,145,4.8
"1992-03-09","12:46:52",4.62,126.03,145,4.6
"1992-03-09","19:03:09",-9.2,113.7,21,3.1
"1992-03-09","22:05:26",-10.5,113.1,30,3.8
"1992-03-09","22:21:29",-6,102.5,61,4.8
