"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2002-01-19","05:09:20",-6.51,130.05,146,3.8
"2002-01-19","08:58:43",1.49,126.98,102,4.8
"2002-01-19","08:58:44",1.48,126.98,113,4.8
"2002-01-19","08:58:44",1.48,126.98,113,4.6
"2002-01-19","12:56:39",-3.25,138.39,33,4.1
"2002-01-19","14:57:41",1.59,97.57,33,4.2
"2002-01-19","14:57:41",1.59,97.57,33,4
"2002-01-19","15:15:02",-8.09,117.91,33,4.7
"2002-01-19","15:15:02",-8.09,117.91,33,4.8
"2002-01-19","15:15:03",-8.08,118.05,33,4.7
"2002-01-19","17:18:45",-0.18,127.41,33,4.5
"2002-01-19","17:18:45",-0.17,127.53,32,4.5
