"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2011-05-17","00:14:57",-9.55,112.56,10,6
"2011-05-17","00:14:57",-9.2,112.58,28,5.7
"2011-05-17","00:15:00",-9.15,112.59,54,5.7
"2011-05-17","00:15:00",-9.35,112.55,57,5.6
"2011-05-17","00:15:00",-9.24,112.6,55,5.6
"2011-05-17","00:15:00",-9.15,112.59,54,5.5
"2011-05-17","01:34:09",-9.43,112.63,38,3.3
"2011-05-17","01:34:09",-9.43,112.63,38,3.4
"2011-05-17","07:33:23",-8.6,116.64,10,2.6
"2011-05-17","07:41:09",-4.23,101.21,34,3.7
"2011-05-17","07:41:22",-3.61,102.03,36,4.4
"2011-05-17","08:23:13",-6.26,129.98,116,3.2
"2011-05-17","09:45:07",-9.78,124.36,10,4.6
"2011-05-17","09:45:09",-9.94,124.14,10,4.4
"2011-05-17","09:45:09",-9.89,124.32,27,4.6
"2011-05-17","09:45:09",-9.89,124.32,27,4.2
"2011-05-17","10:12:27",-8.21,114.49,14,2.9
"2011-05-17","10:12:52",4.28,127.93,165,4.8
"2011-05-17","10:13:01",2.96,126.93,10,4.6
"2011-05-17","10:13:06",2.87,127,44,4.6
"2011-05-17","10:13:06",2.87,127,44,4.3
"2011-05-17","11:01:54",-9.77,124.32,10,4.6
"2011-05-17","11:01:55",-9.92,124.27,19,4.6
"2011-05-17","11:01:55",-9.92,124.27,19,4.7
"2011-05-17","11:01:57",-10.04,124.06,10,4.6
"2011-05-17","11:02:01",-10.02,124,65,4.7
"2011-05-17","11:02:01",-10.06,123.99,80,4.7
"2011-05-17","12:42:12",-8.65,116.14,10,2.7
"2011-05-17","13:19:05",-9.07,116.25,82,3.4
"2011-05-17","13:41:03",-8.23,119.94,201,3.6
"2011-05-17","13:41:05",-8.18,119.93,164,3.8
"2011-05-17","14:38:20",-7.88,105.89,10,4.1
"2011-05-17","14:38:24",-7.69,105.97,35,2.9
"2011-05-17","16:39:37",2.8,128.77,231,3.2
"2011-05-17","17:47:40",-5.49,128.88,300,4.5
"2011-05-17","17:47:40",-5.42,128.78,288,4.5
"2011-05-17","17:47:40",-5.49,128.88,300,4.2
"2011-05-17","17:47:41",-5.47,128.75,302,4.5
"2011-05-17","17:47:42",-5.47,128.91,291,4.6
"2011-05-17","18:33:57",-6.71,129.87,150,4.2
"2011-05-17","18:33:57",-6.71,129.87,150,4
"2011-05-17","18:33:58",-6.69,129.72,151,4.2
"2011-05-17","19:15:46",1.95,127.45,35,4.3
"2011-05-17","19:15:55",1.68,126.95,112,4.3
"2011-05-17","19:15:55",1.68,126.95,112,4.2
"2011-05-17","22:36:53",-2.28,140.88,25,4.1
"2011-05-17","22:36:53",-2.31,140.9,31,4.1
"2011-05-17","22:36:53",-2.31,140.9,31,4
