"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2016-08-01","00:22:45",-8.14,117.81,15,3.6
"2016-08-01","00:27:27",-8.24,117.82,10,2.5
"2016-08-01","00:48:14",-1.1,127.23,28,3.5
"2016-08-01","01:13:19",3.74,123.06,536,4.4
"2016-08-01","01:13:19",3.7,123.02,533,4.4
"2016-08-01","01:13:19",3.71,123.02,527,4.2
"2016-08-01","01:13:22",3.46,123.13,497,4.7
"2016-08-01","05:18:07",-10.22,123.68,54,2.2
"2016-08-01","08:08:31",-8.08,107.91,10,3.7
"2016-08-01","08:32:16",-9.63,122.37,64,4.9
"2016-08-01","08:32:18",-9.8,122.47,45,5
"2016-08-01","08:32:18",-9.84,122.45,73,4.8
"2016-08-01","08:32:19",-9.86,122.48,61,4.8
"2016-08-01","10:10:39",-6.08,105.66,78,4.2
"2016-08-01","10:10:45",-6.52,105.7,109,4.5
"2016-08-01","10:10:46",-6.4,105.62,123,4.7
"2016-08-01","10:10:46",-6.26,105.66,141,4.8
"2016-08-01","10:10:46",-6.15,105.7,143,4.8
"2016-08-01","10:26:19",-8.71,127.47,242,3.7
"2016-08-01","10:41:07",-9.23,123.68,91,2.8
"2016-08-01","11:44:02",-8.51,118.29,172,3.4
"2016-08-01","16:32:20",-2.91,122.4,16,4
"2016-08-01","16:32:20   ",-2.91,122.4,16,4.3
"2016-08-01","17:47:04",2.02,99.09,134,4.9
"2016-08-01","17:47:04",2.1,99.11,140,4.7
"2016-08-01","17:47:04",2.05,99.02,143,4.9
"2016-08-01","17:47:05",2.01,99.04,137,4.8
"2016-08-01","19:40:06",1.67,95.59,10,4.8
"2016-08-01","19:40:07",1.67,95.7,10,4.8
"2016-08-01","19:40:09",1.71,95.81,17,4.8
"2016-08-01","19:40:10",1.76,95.84,29,4.9
"2016-08-01","20:03:41",-8.83,112.09,33,3.9
"2016-08-01","20:15:44",-0.15,121.73,12,2.9
"2016-08-01","22:26:18",-7.05,127.86,386,2.8
"2016-08-01","23:11:37",-7.4,129.17,133,4.7
"2016-08-01","23:11:37",-7.37,129.18,127,4.6
"2016-08-01","23:11:38",-7.41,129.19,130,4.6
"2016-08-01","23:11:38",-7.37,129.16,126,4.6
