"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2007-11-14","03:40:31",-0.33,133.55,35,4.2
"2007-11-14","03:40:31",-0.37,133.56,35,4.2
"2007-11-14","03:54:10",-6.71,104.22,50,4.3
"2007-11-14","03:54:10",-6.71,104.22,50,4
"2007-11-14","03:54:15",-6.29,104.74,79,4.3
"2007-11-14","04:12:20",2.6,95.8,13,4.7
"2007-11-14","04:12:21",2.67,95.93,26,4.8
"2007-11-14","04:12:21",2.62,95.84,40,4.7
"2007-11-14","04:12:22",2.68,95.93,27,4.8
"2007-11-14","04:29:55",1.49,127.04,106,5.3
"2007-11-14","04:29:55",1.53,127.04,104,5.3
"2007-11-14","04:29:55",1.54,127.07,120,5.7
"2007-11-14","04:29:55",1.53,127.04,104,5.7
"2007-11-14","04:29:57",1.5,127,118,5.9
"2007-11-14","05:12:30",0.62,122.59,58,4.1
"2007-11-14","05:12:30",0.62,122.59,58,3.7
"2007-11-14","05:12:33",0.54,122.45,93,4.1
"2007-11-14","08:06:12",-7.25,120.82,484,3
"2007-11-14","10:37:19",-1.88,99.44,35,4.8
"2007-11-14","10:37:19",-1.9,99.34,33,4.8
"2007-11-14","10:37:19",-1.82,99.32,51,5.1
"2007-11-14","10:37:19",-1.9,99.34,33,4.9
"2007-11-14","10:37:22",-1.7,99.3,46,5.2
"2007-11-14","11:41:34",-1.94,99.3,22,4.6
"2007-11-14","11:41:34",-1.87,99.13,40,4.8
"2007-11-14","11:41:35",-1.96,99.33,24,4.6
"2007-11-14","11:41:35",-1.7,99.2,10,4.6
"2007-11-14","11:41:35",-1.96,99.33,24,4.7
"2007-11-14","13:54:40",-4.66,101,35,3.7
"2007-11-14","13:54:40",-4.7,100.96,35,3.7
"2007-11-14","13:54:40",-4.7,100.96,35,3.8
"2007-11-14","14:27:09",-3.52,100.94,27,4.4
"2007-11-14","14:27:10",-3.52,101.01,28,4.4
"2007-11-14","14:30:13",-3.88,100.51,26,4
"2007-11-14","14:30:14",-3.78,100.65,35,4
"2007-11-14","14:30:14",-3.78,100.65,35,3.8
"2007-11-14","15:31:17",-3.06,129.17,30,3.5
"2007-11-14","20:22:16",-6.2,130.24,35,3.6
"2007-11-14","20:22:26",-6.99,129.57,137,3.6
"2007-11-14","22:31:58",-7.63,106.95,35,4.7
"2007-11-14","22:31:58",-7.7,106.86,49,4.8
"2007-11-14","22:31:59",-7.79,106.87,39,4.7
"2007-11-14","22:32:00",-7.9,106.9,57,5.1
"2007-11-14","22:56:54",-5.93,127.89,401,3.9
"2007-11-14","22:56:54",-5.93,127.89,401,3.4
"2007-11-14","22:56:55",-5.95,127.87,410,3.9
