"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1995-08-31","04:41:57",-10.73,113.3,33,3.8
"1995-08-31","04:41:58",-10.71,113.32,33,3.8
"1995-08-31","10:16:39",-8.5,117.9,152,4.5
"1995-08-31","10:16:39",-8.5,117.9,152,4
"1995-08-31","10:16:40",-8.52,117.89,154,4.5
"1995-08-31","15:49:18",-5.82,107.12,271,4.8
"1995-08-31","15:49:18",-5.82,107.12,275,4.8
"1995-08-31","15:49:18",-5.82,107.12,275,4.6
"1995-08-31","15:50:17",-5.68,106.69,253,4.3
"1995-08-31","15:50:18",-5.73,106.64,254,4.3
"1995-08-31","15:50:18",-5.73,106.64,254,4.2
