"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2018-02-15","00:35:53",-1.76,100.44,55,3.6
"2018-02-15","05:59:42",-7.05,106.48,129,3.6
"2018-02-15","15:20:22",-9.99,119.27,18,3.5
"2018-02-15","15:42:17",-9.39,114.86,42,3.4
"2018-02-15","15:51:53",0.83,121.34,31,2.6
"2018-02-15","16:31:48",0.37,122.07,120,2.2
"2018-02-15","18:35:16",1.77,122.34,10,3.8
"2018-02-15","20:41:52",-4.95,102.97,60,4.5
"2018-02-15","20:41:53",-5.11,102.88,50,4.7
"2018-02-15","20:41:53",-4.88,102.93,60,4.5
