"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2014-12-24","00:07:30",4.43,124.66,306,4.4
"2014-12-24","00:07:30",4.41,124.64,300,4.2
"2014-12-24","00:07:31",4.51,124.7,301,4.5
"2014-12-24","00:07:31",4.49,124.72,305,4.3
"2014-12-24","00:07:33",4.28,124.66,282,4.4
"2014-12-24","01:16:47",-2.97,140.11,27,3.3
"2014-12-24","02:28:37",-6.7,130.18,148,2.7
"2014-12-24","03:27:01",-4.85,102.87,59,3.7
"2014-12-24","03:27:02",-4.85,102.91,25,3.8
"2014-12-24","05:23:32",-3.08,130.37,20,4.2
"2014-12-24","05:23:33",-3.02,130.27,24,4.2
"2014-12-24","05:23:33",-3.04,130.42,24,4
"2014-12-24","05:23:34",-2.69,130.31,25,3.8
"2014-12-24","05:44:16",-6.4,130.27,100,3.9
"2014-12-24","05:44:18",-6.45,130.58,111,4.1
"2014-12-24","06:02:05",-4.05,134.92,10,5.3
"2014-12-24","06:02:05",-4.05,134.92,10,5.4
"2014-12-24","06:02:06",-3.91,134.95,10,5.2
"2014-12-24","06:02:07",-3.87,134.91,10,5.2
"2014-12-24","06:02:07",-4.07,134.96,23,5.2
"2014-12-24","06:02:08",-4,134.94,30,5.4
"2014-12-24","06:47:14",-9.66,119.33,50,2.9
"2014-12-24","06:47:16",-9.56,119.37,70,4
"2014-12-24","06:47:16",-9.56,119.37,70,2.9
"2014-12-24","08:10:12",1.83,126.19,16,4.3
"2014-12-24","08:10:14",1.98,126.41,10,4
"2014-12-24","08:10:15",2,126.55,47,4.2
"2014-12-24","08:15:39",-8.42,114.62,10,2.8
"2014-12-24","08:17:47",-5.28,129.59,234,2.7
"2014-12-24","09:15:06",-8.05,107.03,10,3.4
"2014-12-24","10:07:27",0.92,96.87,13,3.5
"2014-12-24","10:07:31",1,96.95,25,3.6
"2014-12-24","11:22:07",-0.08,123.4,157,3.6
"2014-12-24","11:22:08",-0.12,123.45,116,4
"2014-12-24","11:22:08",-0.12,123.45,116,3.2
"2014-12-24","12:44:11",-0.8,124.32,10,3.4
"2014-12-24","13:40:50",-0.1,123.85,112,4.5
"2014-12-24","13:40:50",-0.09,123.9,110,4.4
"2014-12-24","13:40:52",-0.18,123.93,86,5
"2014-12-24","13:40:52",-0.05,123.95,117,4.9
"2014-12-24","13:40:52",-0.07,123.91,125,4.6
"2014-12-24","14:06:14",5.92,125.02,22,4
"2014-12-24","14:10:07",-8.06,129.58,128,2.8
"2014-12-24","14:42:54",5.9,126.53,211,4.8
"2014-12-24","15:03:11",-8.82,122.41,84,2.9
"2014-12-24","15:23:43",5.16,125.94,1,4.7
"2014-12-24","15:58:42",0.99,121.84,22,2
"2014-12-24","16:48:46",-4.54,120.07,11,2.5
"2014-12-24","17:35:04",4.28,96.63,133,4.9
"2014-12-24","17:35:05",4.31,96.69,129,4.3
"2014-12-24","17:35:05",4.33,96.71,126,4.6
"2014-12-24","17:35:05",4.39,96.7,126,4.7
"2014-12-24","17:35:06",4.35,96.77,133,4.2
"2014-12-24","18:10:45",0.49,120.6,55,3.2
"2014-12-24","18:10:45",0.49,120.6,55,3.1
"2014-12-24","18:17:10",-9.23,117.68,76,2.5
"2014-12-24","18:46:28",-0.12,122.84,148,2.9
"2014-12-24","19:22:57",0.34,121.87,163,2.4
"2014-12-24","20:30:56",-4.54,120.04,10,3.9
"2014-12-24","20:30:56",-4.57,120.03,10,3.4
"2014-12-24","20:51:51",-4.58,120.05,10,4.5
"2014-12-24","20:51:51",-4.58,120.05,10,4.3
"2014-12-24","20:51:51",-4.58,120.02,12,4
"2014-12-24","20:51:52",-4.57,120.1,10,4.3
"2014-12-24","20:51:52",-4.57,120.1,10,4.4
"2014-12-24","20:51:53",-4.63,119.9,36,4.3
"2014-12-24","21:34:02",-6.27,131.29,10,4.9
"2014-12-24","21:34:04",-6.24,131.22,41,5.2
"2014-12-24","21:34:05",-6.28,131.26,46,5.2
"2014-12-24","21:34:05",-6.22,131.14,49,5.2
"2014-12-24","21:34:05",-6.22,131.14,49,5.1
"2014-12-24","21:34:06",-6.27,131.23,51,5.2
"2014-12-24","22:11:07",-6.31,122,10,3.1
"2014-12-24","22:11:07",-6.35,121.9,142,3.1
"2014-12-24","22:12:01",-7.04,124.93,550,3.3
"2014-12-24","22:12:03",-7.54,124.92,568,3.8
"2014-12-24","22:12:03",-7.54,124.92,568,3.7
"2014-12-24","22:12:05",-5.51,128.05,613,2.8
