"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2015-04-27","02:23:11",1.94,126.52,47,3.9
"2015-04-27","05:52:05",-9.07,119.36,87,3.4
"2015-04-27","10:15:38",-5.85,103.21,24,4.3
"2015-04-27","10:15:42",-5.62,103.29,35,3.7
"2015-04-27","11:42:36",-10.91,120.32,35,3.6
"2015-04-27","12:05:00",6,126.01,155,4.5
"2015-04-27","12:05:01",5.92,126.15,146,4.6
"2015-04-27","12:05:01",5.97,126.13,150,4.7
"2015-04-27","15:25:26",1.71,124.86,219,4.2
"2015-04-27","15:25:26",1.75,124.92,200,4.2
"2015-04-27","15:25:26",1.75,124.92,200,4
"2015-04-27","15:25:27",1.73,124.95,208,3.7
"2015-04-27","15:48:26",3.62,123.07,500,4.3
"2015-04-27","15:48:26",3.62,123.07,500,4.2
"2015-04-27","15:48:28",3.58,123.19,508,4.5
"2015-04-27","15:48:28",3.61,123.08,527,4.3
"2015-04-27","15:48:28",3.66,123.2,520,4.2
"2015-04-27","15:48:28",3.68,123.14,521,4.4
"2015-04-27","17:34:49",2.03,124.74,251,4.5
"2015-04-27","17:34:50",2.02,124.8,239,4.6
"2015-04-27","17:34:50",2.02,124.78,250,4.5
"2015-04-27","17:34:50",2.05,124.75,247,4.4
"2015-04-27","17:34:50",2.05,124.74,257,4.4
"2015-04-27","17:34:50",2.02,124.78,250,4.3
"2015-04-27","23:07:09",-0.23,121.81,30,2.2
"2015-04-27","23:22:01",3.11,123.13,497,4
"2015-04-27","23:22:01",3.17,123.19,489,4
"2015-04-27","23:48:12",-10.68,120.35,10,3.7
"2015-04-27","23:48:12",-10.73,120.38,31,4.1
"2015-04-27","23:48:12",-10.73,120.38,31,4.3
"2015-04-27","23:48:14",-10.76,120.33,51,4.1
