"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2008-07-07","06:34:32",-7.98,107.81,35,4.6
"2008-07-07","06:34:36",-7.9,108,75,4.7
"2008-07-07","06:34:36",-7.93,108.02,75,4.7
"2008-07-07","06:34:37",-8.15,107.89,74,4.6
"2008-07-07","06:34:37",-8.15,107.89,74,4.3
"2008-07-07","06:39:43",-7.95,107.97,35,4.4
"2008-07-07","06:39:47",-8.05,108,82,4.4
"2008-07-07","06:39:47",-8.05,108,82,3.9
"2008-07-07","08:42:40",-2.78,100.79,20,3.6
"2008-07-07","09:09:33",-7.27,131.23,35,4
"2008-07-07","09:19:21",0.82,121.8,41,4.2
"2008-07-07","10:03:15",-6.78,129.93,156,3.3
"2008-07-07","15:57:41",-8.05,107.85,89,3.2
"2008-07-07","16:18:47",2.5,95.4,10,4.8
"2008-07-07","16:18:48",2.97,95.85,2,4.7
"2008-07-07","16:18:53",2.85,95.84,39,4.7
"2008-07-07","16:18:54",2.9,95.89,42,4.7
"2008-07-07","17:58:35",-2.15,99.4,33,4.2
"2008-07-07","17:58:35",-2.15,99.4,33,4
"2008-07-07","17:58:37",-2.02,99.66,35,4.2
"2008-07-07","18:38:08",-9.31,124.14,107,3.6
"2008-07-07","18:38:08",-9.41,124.08,107,3.6
"2008-07-07","18:38:08",-9.41,124.08,107,3.5
"2008-07-07","19:45:22",-9.05,108.97,12,4.6
"2008-07-07","19:45:22",-9.05,108.97,12,4.5
"2008-07-07","19:45:24",-8.96,109.07,25,4.6
"2008-07-07","21:06:52",-2.16,120.61,2,3.9
"2008-07-07","21:06:52",-2.16,120.61,2,3.7
"2008-07-07","21:06:55",-2.22,120.52,23,3.9
"2008-07-07","21:34:29",1.66,126.6,52,3.5
"2008-07-07","22:00:45",-4.71,128.21,35,3.5
