"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2018-03-17","00:25:00",-5.46,102.82,10,3.6
"2018-03-17","00:34:35",-9.97,119.09,10,2.9
"2018-03-17","00:36:14",0.07,123.12,161,4.3
"2018-03-17","00:36:16",-0.07,123.05,161,4.4
"2018-03-17","01:57:28",-1.38,120.46,10,3.6
"2018-03-17","02:31:52",2.8,128.37,165,4.4
"2018-03-17","02:31:52",2.82,128.42,166,4.4
"2018-03-17","02:31:55",2.49,128.13,160,4.6
"2018-03-17","03:12:54",-3.26,130.94,10,3.6
"2018-03-17","03:46:44",0.42,120.9,10,2.8
"2018-03-17","04:23:21",-1.51,120.06,10,3.3
"2018-03-17","05:11:05",-2.72,131.66,10,3.3
"2018-03-17","05:17:41",0.81,98.19,20,3.3
"2018-03-17","05:23:50",2.88,128.22,10,4.6
"2018-03-17","05:23:54",2.83,128.22,35,4.6
"2018-03-17","05:23:54",2.82,128.3,37,4.6
"2018-03-17","05:23:55",2.83,128.27,39,4.4
"2018-03-17","05:23:56",2.8,128.21,53,4.7
"2018-03-17","05:32:33",-8.81,124.15,112,3.2
"2018-03-17","07:19:39",-4.88,102.87,36,3.9
"2018-03-17","08:52:51",-8.76,112.91,118,3
"2018-03-17","09:15:07",-9.93,126.81,10,4.4
"2018-03-17","09:15:07",-9.66,127.09,10,4.7
"2018-03-17","09:15:07",-9.84,127.02,10,4.4
"2018-03-17","09:15:11",-9.93,126.87,25,4.6
"2018-03-17","09:23:48",-9.76,126.91,10,4.8
"2018-03-17","09:23:50",-9.94,126.82,10,4.7
"2018-03-17","09:23:50",-9.89,126.83,10,4.7
"2018-03-17","09:23:52",-9.97,126.83,45,4.8
"2018-03-17","09:39:23",-9.94,126.84,10,3.9
"2018-03-17","09:55:54",-8.09,118.01,63,3.1
"2018-03-17","10:47:44",-7.15,113.41,10,2.9
"2018-03-17","12:17:26",-8.19,107.34,10,3.5
"2018-03-17","12:40:24",1.06,126.11,10,3.4
"2018-03-17","12:48:12",3.37,122.42,542,4.7
"2018-03-17","12:48:12",3.37,122.54,547,4.7
"2018-03-17","12:48:13",3.28,122.52,547,4.9
"2018-03-17","12:48:13",3.33,122.5,547,4.5
"2018-03-17","13:30:26",4.77,96.19,10,3
"2018-03-17","14:14:09",-9.99,126.86,10,4.2
"2018-03-17","14:14:12",-9.84,126.87,14,4.6
"2018-03-17","15:53:48",-0.4,123.95,111,4.1
"2018-03-17","15:53:49",-0.38,124.02,114,4.2
"2018-03-17","15:53:50",-0.34,123.96,74,4.5
"2018-03-17","16:22:02",-9.62,118.38,10,3.3
"2018-03-17","16:29:33",0.91,126.12,10,3.2
"2018-03-17","16:52:08",-8.36,121.44,182,3
"2018-03-17","17:52:06",-9.84,126.93,10,4.2
"2018-03-17","17:53:08",-9.87,127.04,10,4.3
"2018-03-17","18:06:47",-8.3,125.35,10,2.8
"2018-03-17","18:23:47",-10.03,119.05,30,3.3
"2018-03-17","18:46:01",-9.92,126.88,10,4.2
"2018-03-17","20:35:30",-9.89,119.13,10,3.6
"2018-03-17","20:47:15",-8.86,111.02,10,2.6
"2018-03-17","20:54:23",3.83,126.76,10,4.6
"2018-03-17","20:54:24",3.76,126.82,35,4.5
"2018-03-17","20:54:25",3.73,126.72,48,4.5
"2018-03-17","21:34:34",-3.62,128.77,108,3.8
"2018-03-17","21:54:13",-6.4,106.15,175,3.7
"2018-03-17","23:24:24",-0.06,122.98,71,2.5
"2018-03-17","23:41:06",-8.36,107.81,10,3.7
