"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2001-09-24","03:12:46",-4.38,128.24,500,3.6
"2001-09-24","04:12:58",-9.57,116.21,33,4.9
"2001-09-24","05:40:23",-4.8,103.72,17,3.6
"2001-09-24","17:15:39",1.96,128.22,129,4.7
"2001-09-24","17:15:39",1.98,128.34,127,4.7
"2001-09-24","18:13:24",-8.76,124.55,136,4
"2001-09-24","19:15:42",-11.56,118.53,33,4.5
"2001-09-24","19:15:42",-11.56,118.53,33,4.6
"2001-09-24","19:22:53",-8.63,128.49,33,4.1
"2001-09-24","21:43:29",-6.97,116.51,33,5
"2001-09-24","22:12:53",-9.02,116.1,121,4.6
"2001-09-24","23:13:36",-9.95,116.73,15,4.5
"2001-09-24","23:13:36",-9.95,116.73,15,5.1
"2001-09-24","23:56:18",3.08,126.89,33,4.8
"2001-09-24","23:56:22",3.01,126.84,69,4.8
