"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2005-07-19","02:38:10",0.92,97.8,31,4.8
"2005-07-19","02:38:12",0.91,97.82,30,4.8
"2005-07-19","02:38:20",1.33,98.01,107,4.7
"2005-07-19","07:59:02",4.47,126.44,26,5
"2005-07-19","07:59:02",4.47,126.44,26,4.8
"2005-07-19","07:59:05",4.46,126.36,30,5
"2005-07-19","07:59:05",4.85,126.29,33,4.7
"2005-07-19","08:10:57",5.99,126.34,15,4.6
"2005-07-19","11:58:48",2.22,96.87,33,4.5
"2005-07-19","11:58:48",2.22,96.87,33,4.4
"2005-07-19","11:58:49",2.06,96.69,30,4.5
"2005-07-19","12:21:10",-8.52,111.06,34,4.8
"2005-07-19","12:21:12",-7.92,111.09,33,5.1
"2005-07-19","12:21:13",-8.56,111.07,46,4.8
"2005-07-19","13:28:18",0.11,123.34,113,4.2
"2005-07-19","13:28:18",0.11,123.34,113,4
"2005-07-19","13:28:24",0.1,123.59,150,4.2
"2005-07-19","16:32:28",2.83,96.22,30,4.4
"2005-07-19","16:32:32",3.74,96.2,30,4.4
"2005-07-19","16:32:32",3.74,96.2,30,4
"2005-07-19","17:13:39",2.91,94.01,28,4.5
"2005-07-19","17:13:39",2.91,94.01,28,4.6
"2005-07-19","17:13:41",2.89,93.95,29,4.5
"2005-07-19","17:13:55",3.2,94.29,178,4.7
"2005-07-19","20:03:40",3.06,94.06,30,4.6
"2005-07-19","20:03:40",3.06,94.06,30,4.2
"2005-07-19","20:03:42",2.9,93.91,30,4.6
"2005-07-19","20:50:26",-6.76,129.63,117,4
"2005-07-19","20:50:32",-7.12,129.44,198,4
"2005-07-19","20:50:32",-7.12,129.44,198,3.5
