"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2014-07-04","00:30:48",3.4,127.65,45,3.9
"2014-07-04","03:01:17",3.13,124.75,487,2.7
"2014-07-04","03:34:11",0.09,122.72,130,3.8
"2014-07-04","03:50:36",0.76,122.29,35,3.7
"2014-07-04","05:00:30",-1.67,139.37,10,2.6
"2014-07-04","05:39:57",-3.9,138.79,12,5
"2014-07-04","05:39:57",-3.9,138.8,10,4.9
"2014-07-04","05:39:59",-3.93,138.83,24,4.9
"2014-07-04","05:40:00",-3.88,138.77,30,5
"2014-07-04","05:40:02",-3.94,138.75,54,4.9
"2014-07-04","06:54:41",-2.1,102.11,13,3.3
"2014-07-04","11:20:32",-4.03,139.75,21,5
"2014-07-04","11:20:33",-3.97,139.71,35,4.8
"2014-07-04","11:20:35",-3.88,139.57,49,4.8
"2014-07-04","11:20:37",-3.94,139.53,54,4.9
"2014-07-04","11:20:39",-3.55,139.56,58,5
"2014-07-04","18:14:51",-6.41,128.79,303,4.3
"2014-07-04","18:14:51",-6.43,128.83,300,4
"2014-07-04","18:14:52",-6.47,128.82,302,4.2
"2014-07-04","18:14:53",-6.55,128.88,290,4.3
"2014-07-04","21:43:05",-7.77,123.59,267,3.4
