"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2015-10-19","00:53:30",-9.39,117.92,26,2.6
"2015-10-19","02:26:27",1.87,126.21,10,4
"2015-10-19","02:26:27",1.94,126.32,10,4
"2015-10-19","02:26:30",1.83,126.23,10,4
"2015-10-19","02:26:31",1.87,126.25,35,4
"2015-10-19","03:09:41",0.26,124.51,65,3.4
"2015-10-19","03:15:58",-9.66,115.11,10,4.3
"2015-10-19","03:15:58",-9.66,115.11,10,4.4
"2015-10-19","05:46:35",-3.78,102.93,10,3.1
"2015-10-19","06:21:31",-0.22,122.75,10,2.8
"2015-10-19","06:22:08",-6.99,120.87,550,3.1
"2015-10-19","07:21:45",-4.92,102.42,36,3.2
"2015-10-19","07:56:22",2.12,98.36,78,3.6
"2015-10-19","07:56:25",2.07,98.32,39,3.3
"2015-10-19","09:45:29",1.96,99.09,109,2.6
"2015-10-19","09:49:07",-6.44,127.27,402,2.9
"2015-10-19","10:36:52",-8.13,107.88,22,3.5
"2015-10-19","13:17:30",6,116.6,10,3.4
"2015-10-19","14:14:28",0.56,98.96,63,3.4
"2015-10-19","14:30:58",-7.85,102.39,10,5
"2015-10-19","14:30:58",-7.86,102.45,10,4.9
"2015-10-19","14:30:58",-7.89,102.46,7,4.9
"2015-10-19","14:30:59",-7.86,102.47,10,4.6
"2015-10-19","14:31:01",-7.75,102.55,28,5.1
"2015-10-19","15:53:13",-0.18,122.8,109,3.3
"2015-10-19","15:53:13",-0.22,122.82,100,2.8
"2015-10-19","15:57:48",-6.34,130.13,100,4.2
"2015-10-19","15:57:50",-6.35,130.19,125,4.5
"2015-10-19","16:53:19",4.57,125.61,176,3.4
"2015-10-19","17:01:40",-4.45,100.43,12,4.4
"2015-10-19","17:01:43",-4.42,100.41,43,4.6
"2015-10-19","17:01:43",-4.43,100.45,35,4.3
"2015-10-19","18:28:52",0.29,122.08,149,2.8
"2015-10-19","18:32:39",-3.76,101.85,58,4.4
"2015-10-19","18:32:40",-3.76,101.85,26,4.1
"2015-10-19","18:32:40",-3.67,101.96,55,4.4
"2015-10-19","22:32:37",-8.74,122.54,91,3.4
"2015-10-19","22:51:57",-3.63,128.42,113,3.2
"2015-10-19","23:53:26",-8,110.52,10,3.8
