"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2007-01-06","03:35:28",0.05,98.07,35,3.8
"2007-01-06","09:24:52",-11.65,124.29,70,3.2
"2007-01-06","10:24:48",-7.04,108.16,10,4.5
"2007-01-06","10:24:54",-6.93,108.08,67,4.5
"2007-01-06","10:24:54",-6.93,108.08,67,4.3
"2007-01-06","16:32:31",0.47,96.52,4,4.4
"2007-01-06","16:32:33",0.6,96.5,10,4.6
"2007-01-06","16:32:34",0.49,96.59,22,4.4
"2007-01-06","16:32:34",0.49,96.59,22,4.2
"2007-01-06","17:15:35",0.76,96.74,30,4.4
"2007-01-06","17:15:36",0.74,96.78,35,4.4
"2007-01-06","17:15:36",0.74,96.78,35,3.7
"2007-01-06","20:04:03",-7.17,105.29,40,4.8
"2007-01-06","20:04:04",-7.1,105.1,20,4.6
"2007-01-06","20:04:05",-6.97,105.51,35,4.6
"2007-01-06","20:04:11",-6.8,105.72,88,4.6
"2007-01-06","20:04:11",-6.8,105.72,88,4.5
"2007-01-06","20:55:05",0.07,123.67,123,5.1
"2007-01-06","20:55:05",0.12,123.78,138,5.1
"2007-01-06","20:55:06",-0.03,123.88,136,5.1
"2007-01-06","20:55:08",0.1,123.8,148,5.3
