"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2008-11-18","00:14:36",4.18,125.93,116,4.4
"2008-11-18","00:14:36",4.18,125.93,116,4.6
"2008-11-18","00:14:38",4.19,125.84,133,4.4
"2008-11-18","00:14:38",4,125.9,103,4.9
"2008-11-18","00:28:32",-8.28,121.86,36,4.2
"2008-11-18","00:28:33",-8.4,121.73,45,4.2
"2008-11-18","00:28:33",-8.4,121.73,45,4.5
"2008-11-18","00:33:15",-3.6,128.52,106,2.9
"2008-11-18","01:09:17",-8.69,117.54,164,3.9
"2008-11-18","01:09:17",-8.69,117.56,160,3.9
"2008-11-18","01:17:34",1.34,121.65,20,4.1
"2008-11-18","01:26:53",-4.65,128.12,25,2.7
"2008-11-18","05:46:55",4.79,124.8,321,5.3
"2008-11-18","05:46:55",4.8,124.93,320,5.3
"2008-11-18","05:46:55",4.85,124.94,307,4.8
"2008-11-18","05:46:55",4.8,124.93,320,4.6
"2008-11-18","05:46:56",4.8,124.9,300,5
"2008-11-18","06:24:17",-6.03,102.67,32,3.9
"2008-11-18","06:33:45",-2.07,122.22,11,3.4
"2008-11-18","06:51:47",-2.16,119.62,2,3.7
"2008-11-18","08:37:42",5.35,126.1,104,4.5
"2008-11-18","08:37:42",5.35,126.1,104,4.6
"2008-11-18","08:37:43",5.33,125.85,116,4.5
"2008-11-18","08:37:44",5.3,126.3,100,4.9
"2008-11-18","08:37:44",5.37,126.23,111,4.8
"2008-11-18","09:00:49",-8.96,121.18,35,4
"2008-11-18","09:00:54",-9.63,120.77,108,4
"2008-11-18","09:00:54",-9.63,120.77,108,3.9
"2008-11-18","10:50:05",1.3,121.86,10,4
"2008-11-18","10:59:52",-11.45,117.77,34,3.9
"2008-11-18","10:59:52",-11.45,117.77,34,3.7
"2008-11-18","10:59:53",-11.5,117.87,35,3.9
"2008-11-18","11:06:35",-6.78,108.86,35,4.2
"2008-11-18","11:06:55",-7.01,109.13,229,4.2
"2008-11-18","11:06:55",-7.01,109.13,229,4.1
"2008-11-18","11:06:57",-6.7,109.1,214,4.6
"2008-11-18","12:14:51",1.14,121.26,10,4
"2008-11-18","12:20:34",-8.83,113,28,2.7
"2008-11-18","13:46:02",-7.46,128.28,27,4.6
"2008-11-18","13:46:02",-7.46,128.28,27,4.4
"2008-11-18","13:46:04",-7.43,128,35,4.6
"2008-11-18","16:13:06",-7.27,122,26,3.6
"2008-11-18","17:09:56",-8.87,112.17,78,3
"2008-11-18","17:55:04",4.14,126.74,43,4.6
"2008-11-18","17:55:05",4.08,126.74,52,4.6
"2008-11-18","17:55:05",4.25,126.94,52,4.6
"2008-11-18","17:55:11",4,126.9,61,4.8
"2008-11-18","21:42:11",-7.15,127.77,213,4.2
"2008-11-18","21:42:12",-7.28,127.72,236,4.2
"2008-11-18","21:42:12",-7.28,127.72,236,3.5
"2008-11-18","22:24:49",5.89,126.84,185,4.1
"2008-11-18","22:24:49",5.67,126.49,179,4.1
