"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2006-12-26","00:18:34",-7.32,126.36,270,2.8
"2006-12-26","03:49:03",2.37,128.58,240,4.3
"2006-12-26","03:49:03",2.35,128.58,239,4.3
"2006-12-26","03:49:03",2.35,128.58,239,4.1
"2006-12-26","04:24:45",3.58,125.77,117,3.9
"2006-12-26","09:48:41",-9.65,125.67,10,4.6
"2006-12-26","09:48:45",-9.78,125.8,46,4.6
"2006-12-26","09:48:45",-9.78,125.8,46,4
"2006-12-26","14:46:10",-6.98,129.46,157,3.2
"2006-12-26","16:07:01",5.95,124.06,536,4.5
"2006-12-26","16:07:01",5.95,124.06,536,4.4
"2006-12-26","16:07:02",5.87,123.94,554,4.5
"2006-12-26","19:30:16",4.77,96.08,30,4.3
"2006-12-26","19:30:18",4.72,96.04,49,4.3
"2006-12-26","19:30:18",4.7,96.1,10,4.5
"2006-12-26","19:30:18",4.72,96.04,49,4.2
"2006-12-26","22:56:36",2.93,125.57,110,5.4
"2006-12-26","22:56:36",2.91,125.72,109,5.4
"2006-12-26","22:56:36",3.1,125.8,103,5.6
"2006-12-26","22:56:36",2.93,125.61,130,5.2
"2006-12-26","22:56:36",2.91,125.72,109,5.1
