"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2017-02-02","02:03:37",-7.28,126.54,407,3.1
"2017-02-02","02:06:13",-7.45,106.14,13,4.1
"2017-02-02","02:06:16",-7.46,105.9,65,3.7
"2017-02-02","05:21:56",5.86,126.92,50,4
"2017-02-02","06:34:13",-5.95,102.35,40,5.1
"2017-02-02","06:34:14",-5.81,102.42,34,4.7
"2017-02-02","06:34:15",-5.82,102.42,49,4.9
"2017-02-02","06:34:15",-5.83,102.38,48,4.8
"2017-02-02","07:53:00",5.31,127.98,51,4
"2017-02-02","07:53:29",4.75,127.92,73,4.4
"2017-02-02","08:14:42",1.44,123.1,10,3.1
"2017-02-02","08:56:55",2.45,99.86,101,3
"2017-02-02","09:02:27",3.34,98.51,20,2.3
"2017-02-02","09:02:28",3.28,98.47,10,2.2
"2017-02-02","09:02:34",-8.9,117.56,10,4
"2017-02-02","11:18:36",-6.6,115.65,557,5
"2017-02-02","11:18:36",-6.53,115.67,560,4.9
"2017-02-02","11:18:36",-6.54,115.68,558,4.9
"2017-02-02","11:18:36",-6.56,115.64,562,4.8
"2017-02-02","11:18:36",-6.55,115.64,574,5
"2017-02-02","12:50:14",-8.78,117.58,10,3.9
"2017-02-02","14:39:44",-6.19,130.15,193,4.6
"2017-02-02","14:39:46",-6.16,129.95,143,3.9
"2017-02-02","17:38:57",-0.76,131.3,10,3.9
"2017-02-02","17:38:57",-0.79,131.19,13,3.5
"2017-02-02","18:14:30",-6.03,103.95,171,2.8
"2017-02-02","18:57:10",4.37,126.67,10,4.1
"2017-02-02","18:57:14",4.22,126.83,35,4.1
"2017-02-02","19:36:38",0.39,96.99,20,4.3
"2017-02-02","19:36:39",0.41,97.07,49,4.5
"2017-02-02","20:10:59",3.12,126.65,56,4.3
"2017-02-02","22:30:10",0.5,123.5,10,3
"2017-02-02","22:48:46",0.74,122.18,75,2.1
