"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2014-10-24","00:51:42",-8.56,122.3,200,3.3
"2014-10-24","01:33:12",-6.13,130.51,100,4.2
"2014-10-24","01:33:12",-6.13,130.51,100,4.1
"2014-10-24","01:33:16",-6.08,130.4,133,4.2
"2014-10-24","01:33:16",-6.19,130.54,148,4.4
"2014-10-24","01:33:17",-6.2,130.62,144,4.9
"2014-10-24","01:33:28",-5.13,130.62,110,4.8
"2014-10-24","02:23:46",1.46,126.45,44,5.2
"2014-10-24","02:23:48",1.53,126.46,48,5
"2014-10-24","02:23:48",1.41,126.42,59,5.1
"2014-10-24","02:23:48",1.52,126.47,55,5
"2014-10-24","02:23:48",1.47,126.49,60,5
"2014-10-24","02:23:48",1.41,126.42,59,5.2
"2014-10-24","03:01:11",-6.64,129.92,10,3.9
"2014-10-24","03:31:36",-7.59,111.76,10,3.2
"2014-10-24","03:57:09",-7.6,111.75,10,3.3
"2014-10-24","03:57:09",-7.58,111.75,10,3.7
"2014-10-24","09:18:46",-2.24,139.01,10,4.9
"2014-10-24","09:18:46",-2.24,139.01,10,4.8
"2014-10-24","09:18:47",-2.12,139.14,10,4.8
"2014-10-24","09:18:48",-2.26,138.96,12,4.8
"2014-10-24","09:18:48",-2.24,138.95,20,4.9
"2014-10-24","09:18:50",-2.32,138.84,37,4.9
"2014-10-24","11:08:19",-6.01,129.51,170,3
"2014-10-24","13:49:32",-7.75,128.57,150,3.3
"2014-10-24","15:25:11",5.05,95.18,87,4.5
"2014-10-24","15:25:12",5.06,95.18,87,4.5
"2014-10-24","15:25:13",5.11,95.37,100,4.5
"2014-10-24","15:25:13",5.11,95.37,100,4.4
"2014-10-24","15:25:19",4.65,95.87,23,3.8
"2014-10-24","18:52:04",5.69,126.64,86,4.8
"2014-10-24","20:28:03",-0.32,124.7,12,3.1
"2014-10-24","20:31:43",-2.41,128.79,11,2.8
"2014-10-24","20:31:43",-2.39,128.8,10,3
"2014-10-24","21:45:19",-8.66,128.34,35,3.4
