"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1988-09-02","07:29:00",3.73,126.45,33,4.9
"1988-09-02","07:29:00",3.73,126.51,33,4.9
"1988-09-02","07:29:00",3.73,126.51,33,4.8
"1988-09-02","17:16:20",2.14,97.98,96,4.8
"1988-09-02","17:16:20",2.13,97.98,96,4.8
"1988-09-02","17:16:20",2.13,97.98,96,4.4
"1988-09-02","22:32:44",-3.43,138.47,76,5.2
"1988-09-02","22:32:44",-3.43,138.47,77,5.3
"1988-09-02","22:32:44",-3.43,138.47,77,5.2
"1988-09-02","23:08:47",-8.42,120.66,33,4.4
"1988-09-02","23:08:48",-8.33,120.82,33,4.4
