"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1988-09-15","05:09:22",-2.13,137.17,33,4
"1988-09-15","05:09:22",-2.13,137.17,33,4.8
"1988-09-15","05:09:27",-2.72,137.43,33,4
"1988-09-15","13:21:52",3.82,127.31,33,4.7
"1988-09-15","13:21:52",3.82,127.29,33,4.7
"1988-09-15","13:21:52",3.82,127.29,33,4.6
"1988-09-15","16:07:58",-3.96,139.13,65,4.3
"1988-09-15","16:07:59",-4,139.14,73,4.3
"1988-09-15","16:07:59",-4,139.14,73,4.6
"1988-09-15","16:16:07",-3.14,138.91,33,4
"1988-09-15","16:16:07",-3.17,138.96,33,4
"1988-09-15","17:25:43",-6.2,130.91,116,4.4
"1988-09-15","17:25:43",-6.11,130.92,134,4.4
"1988-09-15","17:25:43",-6.11,130.92,134,4.9
"1988-09-15","19:15:19",-6.63,128.01,377,4.2
"1988-09-15","19:15:20",-6.63,127.98,377,4.2
"1988-09-15","21:12:31",-7.59,128.5,137,4.6
"1988-09-15","21:12:31",-7.59,128.5,137,4.2
"1988-09-15","21:12:32",-7.74,128.54,125,4.6
